Michael Gbinije,B-E,Detroit Pistons
Stephen Curry,B,Golden State Warriors
Kevin Durant,A,Golden State Warriors
Klay Thompson,E,Golden State Warriors
Draymond Green,AP,Golden State Warriors
Andre Iguodala,AP,Golden State Warriors
Ian Clark,B-E,Golden State Warriors
JaVale McGee,P,Golden State Warriors
Zaza Pachulia,P,Golden State Warriors
David West,AP,Golden State Warriors
Shaun Livingston,B,Golden State Warriors
Patrick McCaw,B-E,Golden State Warriors
James Michael McAdoo,AP,Golden State Warriors
Damian Jones,P,Golden State Warriors
Matt Barnes,A,Golden State Warriors
James Harden,B-E,Houston Rockets
Eric Gordon,E,Houston Rockets
Lou Williams,B-E,Houston Rockets
Patrick Beverley,B,Houston Rockets
Trevor Ariza,E-A,Houston Rockets
Ryan Anderson,A,Houston Rockets
Clint Capela,A,Houston Rockets
Nene,P,Houston Rockets
Bobby Brown,B-E,Houston Rockets
Sam Dekker,A,Houston Rockets
Troy Williams,A,Houston Rockets
Kyle Wiltjer,A,Houston Rockets
Isaiah Taylor,B,Houston Rockets
Montrezl Harrell,A,Houston Rockets
Paul George,E-A,Indiana Pacers
Lance Stephenson,B-E,Indiana Pacers
Jeff Teague,B,Indiana Pacers
Myles Turner,P,Indiana Pacers
Thaddeus Young,AP,Indiana Pacers
Kevin Seraphin,AP-P,Indiana Pacers
CJ Miles,E-A,Indiana Pacers
Monta Ellis,E,Indiana Pacers
Aaron Brooks,B,Indiana Pacers
Glenn Robinson III,A,Indiana Pacers
Lavoy Allen,AP-P,Indiana Pacers
Chris Paul,B,L.A Clippers
Blake Griffin,AP,L.A Clippers
Jamal Crawford,E,L.A Clippers
Austin Rivers,B-E,L.A Clippers
DeAndre Jordan,P,L.A Clippers
JJ Redick,E,L.A Clippers
Luc Mbah a Moute,A,L.A Clippers
Marreese Speights,AP-P,L.A Clippers
Raymond Felton,B-E,L.A Clippers
Brandon Bass,A,L.A Clippers
Paul Pierce,A,L.A Clippers
Wesley Johnson,A,L.A Clippers
D'Angelo Russell,B,Los Angeles Lakers
Jordan Clarkson,E,Los Angeles Lakers
Lou Williams,B,Los Angeles Lakers
Nick Young,E,Los Angeles Lakers
Julius Randle,AP,Los Angeles Lakers
Brandon Ingram,A,Los Angeles Lakers
Luol Deng,A,Los Angeles Lakers
Tyler Ennis,E,Los Angeles Lakers
Ivica Zubac,P,Los Angeles Lakers
Timofey Mozgov,P,Los Angeles Lakers
Larry Nance Jr,AP,Los Angeles Lakers
Corey Brewer,A,Los Angeles Lakers
Tarik Black,P,Los Angeles Lakers
David Nwaba,B-E,Los Angeles Lakers
Thomas Robinson,AP,Los Angeles Lakers
Marcelo Huertas,B,Los Angeles Lakers
Metta World Peace,A,Los Angeles Lakers
Mike Conley,B,Memphis Grizzlies
Marc Gasol,P,Memphis Grizzlies
Zach Randolph,AP,Memphis Grizzlies
Vince Carter,E-A,Memphis Grizzlies
James Ennis III,A,Memphis Grizzlies
JaMychal Green,A,Memphis Grizzlies
Andrew Harrison,B-E,Memphis Grizzlies
Wayne Selden,E-A,Memphis Grizzlies
Brandan Wright,AP-P,Memphis Grizzlies
Deyonta Davis,AP-P,Memphis Grizzlies
Troy Daniels,B-E,Memphis Grizzlies
Jarell Martin,A,Memphis Grizzlies
Wade Baldwin IV,B-E,Memphis Grizzlies
Derrick Williams,A,Miami Heat
Dion Waiters,E,Miami Heat
Goran Dragic,B,Miami Heat
Hassan Whiteside,P,Miami Heat
James Johnson,A,Miami Heat
Josh McRoberts,AP,Miami Heat
Josh Richardson,B-E,Miami Heat
Justise Winslow,A,Miami Heat
Luke Babbitt,A,Miami Heat
Okaro White,AP,Miami Heat
Rodney McGruder,B-E,Miami Heat
Tyler Johnson,B-E,Miami Heat
Udonis Haslem,AP,Miami Heat
Willie Reed,AP-P,Miami Heat
Axel Toupane,E-A,Milwaukee-Bucks
Gary Payton II,B,Milwaukee-Bucks
Giannis Antetokounmpo,E-A,Milwaukee-Bucks
Greg Monroe,P,Milwaukee-Bucks
Jabari Parker,A,Milwaukee-Bucks
Jason Terry,B-E,Milwaukee-Bucks
John Henson,AP,Milwaukee-Bucks
Khris Middleton,A,Milwaukee-Bucks
Malcolm Brogdon,B-E,Milwaukee-Bucks
Matthew Dellavedova,B-E,Milwaukee-Bucks
Michael Beasley,A,Milwaukee-Bucks
Miles Plumlee,P,Milwaukee-Bucks
Mirza Teletovic,AP,Milwaukee-Bucks
Rashad Vaughn,E,Milwaukee-Bucks
Spencer Hawes,AP,Milwaukee-Bucks
Steve Novak,A,Milwaukee-Bucks
Terrence Jones,AP,Milwaukee-Bucks
Thon Maker,AP-P,Milwaukee-Bucks
Tony Snell,E-A,Milwaukee-Bucks
Adreian Payne,AP,Minesota Timberwolves
Andrew Wiggins,E-A,Minesota Timberwolves
Brandon Rush,E-A,Minesota Timberwolves
Cole Aldrich,P,Minesota Timberwolves
Gorgui Dieng,P,Minesota Timberwolves
John Lucas III,B-E,Minesota Timberwolves
Jordan Hill,AP-P,Minesota Timberwolves
Karl-Anthony Towns,P,Minesota Timberwolves
Kris Dunn,B,Minesota Timberwolves
Lance Stephenson,A,Minesota Timberwolves
Nemanja Bjelica,A,Minesota Timberwolves
Omri Casspi,AP,Minesota Timberwolves
Ricky Rubio,B,Minesota Timberwolves
Shabazz Muhammad,E-A,Minesota Timberwolves
Tyus Jones,B,Minesota Timberwolves
Zach LaVine,B-E,Minesota Timberwolves
Alexis Ajinca,P,New Orleans Pelicans
Anthony Brown,E-A,New Orleans Pelicans
Anthony Davis,AP-P,New Orleans Pelicans
Archie Goodwin,B,New Orleans Pelicans
Buddy Hield,E,New Orleans Pelicans
Cheick Diallo,A,New Orleans Pelicans
Dante Cunningham,A,New Orleans Pelicans
DeMarcus Cousins,P,New Orleans Pelicans
Donatas Motiejunas,P,New Orleans Pelicans
E'Twaun Moore,B-E,New Orleans Pelicans
Hollis Thompson,A,New Orleans Pelicans
Jarrett Jack,B,New Orleans Pelicans
Jordan Crawford,E,New Orleans Pelicans
Jrue Holiday,B,New Orleans Pelicans
Langston Galloway,B,New Orleans Pelicans
Omer Asik,P,New Orleans Pelicans
Omri Casspi,A,New Orleans Pelicans
Quinn Cook,B,New Orleans Pelicans
Reggie Williams,E,New Orleans Pelicans
Solomon Hill,A,New Orleans Pelicans
Terrence Jones,A-AP,New Orleans Pelicans
Tim Frazier,B-E,New Orleans Pelicans
Tyreke Evans,B,New Orleans Pelicans
Wayne Selden,B,New Orleans Pelicans
Carmelo Anthony,A,New York Knicks
Chasson Randle,B,New York Knicks
Courtney Lee,E,New York Knicks
Derrick Rose,B,New York Knicks
Joakim Noah,P,New York Knicks
Justin Holiday,E-A,New York Knicks
Kristaps Porzingis,AP,New York Knicks
Kyle O'Quinn,AP-P,New York Knicks
Lance Thomas,A,New York Knicks
Marshall Plumlee,P,New York Knicks
Maurice Ndour,A,New York Knicks
Mindaugas Kuzminskas,A,New York Knicks
Ron Baker,B-E,New York Knicks
Sasha Vujacic,E,New York Knicks
Willy Hernangomez,P,New York Knicks
Alex Abrines,E,Oklahoma City Thunder
Anthony Morrow,AP,Oklahoma City Thunder
Cameron Payne,B,Oklahoma City Thunder
Domantas Sabonis,AP,Oklahoma City Thunder
Doug McDermott,A,Oklahoma City Thunder
Ersan Ilyasova,AP,Oklahoma City Thunder
Jerami Grant,A,Oklahoma City Thunder
Joffrey Lauvergne,AP,Oklahoma City Thunder
Josh Huestis,A,Oklahoma City Thunder
Kyle Singler,E,Oklahoma City Thunder
Nick Collison,AP,Oklahoma City Thunder
Norris Cole,B,Oklahoma City Thunder
Russell Westbrook,B,Oklahoma City Thunder
Semaj Christon,B,Oklahoma City Thunder
Steven Adams,P,Oklahoma City Thunder
Taj Gibson,AP,Oklahoma City Thunder
Victor Oladipo,E,Oklahoma City Thunder
Enes Kanter,P,Oklahoma City Thunder
Aaron Gordon,A,Orlando Magic
Arinze Onuaku,P,Orlando Magic
Bismack Biyombo,P,Orlando Magic
C.J. Watson,B,Orlando Magic
CJ Wilcox,B-E,Orlando Magic
Damjan Rudez,A,Orlando Magic
Elfrid Payton,B-E,Orlando Magic
Evan Fournier,B-E,Orlando Magic
Jeff Green,A,Orlando Magic
Jodie Meeks,B-E,Orlando Magic
Marcus Georges-Hunt,E,Orlando Magic
Mario Hezonja,E-A,Orlando Magic
Nikola Vucevic,P,Orlando Magic
Patricio Garino,A,Orlando Magic
Stephen Zimmerman,P,Orlando Magic
Terrence Ross,E,Orlando Magic
Alex Poythress,A,Philadelphia 76ers
Dario Saric,P,Philadelphia 76ers
Gerald Henderson,E,Philadelphia 76ers
Jahlil Okafor,P,Philadelphia 76ers
Jerryd Bayless,B,Philadelphia 76ers
Joel Embiid,P,Philadelphia 76ers
Justin Anderson,A,Philadelphia 76ers
Justin Harper,AP,Philadelphia 76ers
Nerlens Noel,P,Philadelphia 76ers
Nik Stauskas,E,Philadelphia 76ers
Richaun Holmes,P,Philadelphia 76ers
Robert Covington,A,Philadelphia 76ers
Sergio Rodriguez,B,Philadelphia 76ers
Shawn Long,AP,Philadelphia 76ers
T.J. McConnell,B-E,Philadelphia 76ers
Tiago Splitter,P,Philadelphia 76ers
Timothe Luwawu-Cabarrot,E,Philadelphia 76ers
Alan Williams,AP-P,Phoenix Suns
Alex Len,P,Phoenix Suns
Brandon Knight,B,Phoenix Suns
Derrick Jones Jr.,A,Phoenix Suns
Devin Booker,E,Phoenix Suns
Dragan Bender,AP-P,Phoenix Suns
Elijah Millsap,E-A,Phoenix Suns
Eric Bledsoe,B,Phoenix Suns
Jared Dudley,E-A,Phoenix Suns
Jarell Eddie,E-A,Phoenix Suns
John Jenkins,E,Phoenix Suns
Leandro Barbosa,B-E,Phoenix Suns
Marquese Chriss,A,Phoenix Suns
PJ Tucker,E,Phoenix Suns
Ronnie Price,B,Phoenix Suns
TJ Warren,A,Phoenix Suns
Tyler Ulis,B,Phoenix Suns
Tyson Chandler,P,Phoenix Suns
Al-Farouq Aminu,AP,Portland Trail Blazzers
Allen Crabbe,E,Portland Trail Blazzers
CJ McCollum,E,Portland Trail Blazzers
Damian Lillard,B,Portland Trail Blazzers
Ed Davis,AP,Portland Trail Blazzers
Evan Turner,E-A,Portland Trail Blazzers
Jake Layman,A,Portland Trail Blazzers
Jusuf Nurkic,P,Portland Trail Blazzers
Mason Plumlee,P,Portland Trail Blazzers
Maurice Harkless,A,Portland Trail Blazzers
Meyers Leonard,P,Portland Trail Blazzers
Noah Vonleh,A,Portland Trail Blazzers
Pat Connaughton,B-E,Portland Trail Blazzers
Shabazz Napier,B,Portland Trail Blazzers
Tim Quarterman,B-E,Portland Trail Blazzers
Anthony Tolliver,AP-P,Sacramento Kings
Arron Afflalo,E,Sacramento Kings
Ben McLemore,B-E,Sacramento Kings
Buddy Hield,B-E,Sacramento Kings
Darren Collison,B,Sacramento Kings
Garrett Temple,E,Sacramento Kings
Georgios Papagiannis,P,Sacramento Kings
Jordan Farmar,B,Sacramento Kings
Kosta Koufos,P,Sacramento Kings
Langston Galloway,B-E,Sacramento Kings
Malachi Richardson,B-E,Sacramento Kings
Rudy Gay,A,Sacramento Kings
Skal Labissiere,AP-P,Sacramento Kings
Ty Lawson,B-E,Sacramento Kings
Willie Cauley-Stein,P,Sacramento Kings
Bryn Forbes,B-E,San Antonio Spurs
Danny Green,E,San Antonio Spurs
David Lee,AP-P,San Antonio Spurs
Davis Bertans,AP-P,San Antonio Spurs
Dejounte Murray,B,San Antonio Spurs
Dewayne Dedmon,P,San Antonio Spurs
Joel Anthony,AP-P,San Antonio Spurs
Jonathon Simmons,E,San Antonio Spurs
Kawhi Leonard,A,San Antonio Spurs
Kyle Anderson,A,San Antonio Spurs
LaMarcus Aldridge,AP,San Antonio Spurs
Manu Ginobili,E,San Antonio Spurs
Nicolas Laprovittola,B,San Antonio Spurs
Patty Mills,B,San Antonio Spurs
Pau Gasol,P,San Antonio Spurs
Tony Parker,B,San Antonio Spurs
Bruno Caboclo,A,Toronto Raptors
Cory Joseph,B-E,Toronto Raptors
DeMar DeRozan,E,Toronto Raptors
DeMarre Carroll,A,Toronto Raptors
Delon Wright,B-E,Toronto Raptors
Fred VanVleet,B-E,Toronto Raptors
Jakob Poeltl,AP-P,Toronto Raptors
Jared Sullinger,AP,Toronto Raptors
Jonas Valanciunas,P,Toronto Raptors
Kyle Lowry,B,Toronto Raptors
Lucas Nogueira,P,Toronto Raptors
Norman Powell,B-E,Toronto Raptors
Pascal Siakam,A,Toronto Raptors
Patrick Patterson,AP-P,Toronto Raptors
Serge Ibaka,AP,Toronto Raptors
Terrence Ross,E,Toronto Raptors
Alec Burks,B-E,Utah Jazz
Boris Diaw,AP,Utah Jazz
Dante Exum,B-E,Utah Jazz
Derrick Favors,AP,Utah Jazz
George Hill,B,Utah Jazz
Gordon Hayward,E-A,Utah Jazz
Jeff Withey,P,Utah Jazz
Joe Ingles,E-A,Utah Jazz
Joe Johnson,A,Utah Jazz
Joel Bolomboy,AP-P,Utah Jazz
Raul Neto,B-E,Utah Jazz
Rodney Hood,E,Utah Jazz
Rudy Gobert,P,Utah Jazz
Shelvin Mack,B-E,Utah Jazz
Trey Lyles,A,Utah Jazz
Andrew Nicholson,A,Washington Wizards
Bradley Beal,E,Washington Wizards
Brandon Jennings,B,Washington Wizards
Daniel Ochefu,A,Washington Wizards
Danuel House,B-E,Washington Wizards
Ian Mahinmi,P,Washington Wizards
Jason Smith,P,Washington Wizards
John Wall,B,Washington Wizards
Kelly Oubre Jr.,E-A,Washington Wizards
Marcin Gortat,P,Washington Wizards
Marcus Thornton,B-E,Washington Wizards
Markieff Morris,AP,Washington Wizards
Otto Porter Jr.,A,Washington Wizards
Sheldon McClellan,B-E,Washington Wizards
Tomas Satoransky,E,Washington Wizards
Trey Burke,B,Washington Wizards
